id;time;url;result
1;2020-12-14T13:51:41;http://charity.biz;override Operations Fundamental
2;2020-12-14T17:47:01;https://etha.info;transmit plum
3;2020-12-13T22:39:49;http://velva.biz;Persevering Chicken feed
4;2020-12-14T14:43:10;http://jessy.biz;middleware Bike Uzbekistan
5;2020-12-14T16:36:29;http://stefanie.com;Avon driver
6;2020-12-14T17:51:55;https://anna.net;withdrawal
7;2020-12-14T03:36:32;https://loma.name;Engineer Ecuador integrated
8;2020-12-14T01:27:25;http://trace.net;parsing purple Curve
9;2020-12-14T05:56:09;https://loma.info;orange Rubber Bedfordshire
10;2020-12-14T12:04:43;https://brenda.net;Argentine Peso Garden transmit
